feature,mean_abs_shap
Status_checking_account_A14,0.26477286422477264
Savings_account_bonds_A61,0.12255771457738429
Duration_months,0.1122398370376429
Status_checking_account_A11,0.09617853703111495
Installment_rate,0.06978110533000077
Credit_history_A34,0.05798038689163418
Credit_amount,0.05037271014123448
Other_installment_plans_A141,0.0498277555432123
Property_A121,0.047478426903112554
Status_checking_account_A12,0.033340871857033064
Age_years,0.03262939011841542
Other_installment_plans_A143,0.028216800179021884
Personal_status_sex_A93,0.026466972742384014
Savings_account_bonds_A65,0.02539104555525163
Present_employment_since_A72,0.025194723690088752
Personal_status_sex_A92,0.021476977008983187
Housing_A152,0.02145930747814814
Purpose_A43,0.021254810892132273
Property_A124,0.021023177424117582
Present_residence_since,0.020016383110578306
Purpose_A46,0.01886335938552813
Purpose_A40,0.017682326575171974
Property_A122,0.01673480293042201
Property_A123,0.013593789900295992
Savings_account_bonds_A62,0.012837341628993046
Credit_history_A33,0.012649138266486438
Housing_A151,0.012542542828067665
Purpose_A41,0.010263671843120005
Purpose_A42,0.00990700528777515
Credit_history_A32,0.009769816975584497
Present_employment_since_A74,0.009085958817580049
Job_A173,0.008502957533931228
Number_existing_credits,0.008424673355566908
Telephone_A191,0.008407028981343143
Present_employment_since_A73,0.008206733785996444
Present_employment_since_A75,0.006094808460490853
Telephone_A192,0.006074075764423699
Job_A174,0.0060198485696860765
Other_debtors_guarantors_A101,0.005897305589721711
Status_checking_account_A13,0.005575331814053544
Other_debtors_guarantors_A103,0.005340622802871698
Job_A172,0.004930283331597517
Credit_history_A30,0.00447089464743668
Present_employment_since_A71,0.004388714556083477
Purpose_A49,0.004032345583519985
Other_debtors_guarantors_A102,0.0032772480357776347
Personal_status_sex_A94,0.003225818002735806
Number_people_liable,0.0030802856742391718
Personal_status_sex_A91,0.002873708830643135
Credit_history_A31,0.0027323963077640775
Savings_account_bonds_A64,0.002452302062746236
Housing_A153,0.002299421610899649
Other_installment_plans_A142,0.0014280941187030838
Job_A171,0.001241598751218797
Savings_account_bonds_A63,0.0011849956301993212
Foreign_worker_A201,0.0011175124060099676
Foreign_worker_A202,0.0006314650765595408
Purpose_A45,0.0006009658006542243
Purpose_A48,9.404686801527962e-06
Purpose_A44,0.0
Purpose_A410,0.0
